x,y
147,369
369,147
741,258
852,369
963,147
123,654
456,987
789,321
159,852
753,369
147,741
369,258
258,963
147,852
369,147
951,753
159,357
753,159
258,456
147,789
369,123
852,147
741,258
123,456
456,789
789,123
159,357
753,951
147,258
369,147
258,369
147,963
369,258
951,357
159,753
753,951
258,147
147,369
369,147
741,258
852,369
963,147
123,654
456,987
789,321
159,852
753,369
147,741
369,258
258,963
147,852
369,147
951,753
159,357
753,159
258,456
147,789
369,123
852,147
741,258
123,456
456,789
789,123
159,357
753,951
147,258
369,147
258,369
147,963
369,258
951,357
159,753
753,951
258,147
147,369
369,147
741,258
852,369
963,147
123,654
456,987
789,321
159,852
753,369
147,741
369,258
258,963
147,852
369,147
951,753
159,357
753,159
258,456
147,789
369,123
852,147
741,258
123,456
456,789
789,123
159,357
753,951
147,258
369,147
258,369
147,963
369,258
951,357
159,753
753,951
258,147
147,369
369,147
741,258
852,369
963,147
123,654
456,987
789,321
159,852
753,369
147,741
369,258
258,963
147,852
369,147
951,753
159,357
753,159
258,456
147,789
369,123
852,147
741,258
123,456
456,789
789,123
159,357
753,951
147,258
369,147
258,369
147,963
369,258
951,357
159,753
753,951
258,147
147,369
369,147
741,258
852,369
963,147
123,654
456,987
789,321
159,852
753,369
147,741
369,258
258,963
147,852
369,147
951,753
159,357
753,159
258,456
147,789
369,123
852,147
741,258
123,456
456,789
789,123
159,357
753,951
147,258
369,147
258,369
147,963
369,258
951,357
159,753
753,951
258,147
147,369
369,147
741,258
852,369
963,147
123,654
456,987
789,321
159,852
753,369
147,741
369,258
258,963
147,852
369,147
951,753
159,357
753,159
258,456
147,789
369,123
852,147
741,258
123,456
456,789
789,123
159,357
753,951
147,258
369,147
258,369
147,963
369,258
951,357
159,753
753,951
258,147
147,369
369,147
741,258
852,369
963,147
123,654
456,987
789,321
159,852
753,369
147,741
369,258
258,963
147,852
369,147
951,753
159,357
753,159
258,456
147,789
369,123
852,147
741,258
123,456
456,789
789,123
159,357
753,951
147,258
369,147
258,369
147,963
369,258
951,357
159,753
753,951
258,147
147,369
369,147
741,258
852,369
963,147
123,654
456,987
789,321
159,852
753,369
147,741
369,258
258,963
147,852
369,147
951,753
159,357
753,159
258,456
147,789
369,123
852,147
